"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Aeroporto",4,97.430351574707,24.3575878936768,28.1443051728003
"2","Afloramento Rochoso",522,96950.0229391846,185.728013293457,1181.94231050449
"3","Água",218,11585.2043962891,53.1431394325186,142.641038105335
"4","Áreas Abertas (úmidas + Secas)",65,2569.50320510254,39.5308185400391,84.107923177673
"5","Áreas Agricolas",67,3335.45655874023,49.7829337125408,137.920800867087
"6","Áreas de Mineração",19,8178.06972692871,430.424722469932,969.955234240976
"7","Áreas de Reflorestamento",252,23268.8465882935,92.3366928106883,359.140907059504
"8","Áreas Urbanas",106,18426.3506602905,173.833496795194,366.384032364549
"9","Pastagem",2511,494399.447726306,196.893447919676,2659.85208115959
"10","Rodovias",20,704.151518041992,35.2075759020996,35.8561303252987
"11","Vegetação Nativa",3891,421816.679210376,108.408295864913,1220.81337883825
